Date,Time,Chan,Freq (kHz),Type,Code Space,ID,S/N,Data1,Units1,Slope1,Int1,Data2,Units2,Slope2,Int2,Signal (dB),Gain Mode,Gain (dB),Latitude,Longitude,Comment
2016-07-13,13:44:09.446,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43255,-157.78912,
2016-07-13,13:43:59.161,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43254,-157.78911,
2016-07-13,13:43:48.884,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43248,-157.78909,
2016-07-13,13:30:52.121,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,28,Auto,48,21.43248,-157.78920,
2016-07-13,13:29:20.743,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43243,-157.78915,
2016-07-13,13:29:10.466,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43240,-157.78915,
2016-07-13,13:29:00.181,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43239,-157.78915,
2016-07-13,13:21:02.702,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,40,Auto,48,,,
2016-07-13,13:12:49.169,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43232,-157.78909,
2016-07-13,13:12:38.889,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43232,-157.78909,
2016-07-13,13:12:28.617,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43232,-157.78909,
2016-07-13,13:04:19.567,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,36,Auto,48,21.43236,-157.78909,
2016-07-13,13:04:09.216,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,36,Auto,48,21.43236,-157.78909,
2016-07-13,12:57:12.199,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43231,-157.78908,
2016-07-13,12:57:01.930,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43230,-157.78908,
2016-07-13,12:56:51.660,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43230,-157.78908,
2016-07-13,12:54:36.960,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,30,Auto,48,21.43233,-157.78909,
2016-07-13,12:46:18.450,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,26,Auto,48,21.43236,-157.78915,
2016-07-13,12:46:08.114,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,26,Auto,48,21.43234,-157.78917,
2016-07-13,12:41:47.850,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43250,-157.78932,
2016-07-13,12:41:37.579,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43254,-157.78929,
2016-07-13,12:41:27.308,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,83,Auto,18,21.43256,-157.78928,
2016-07-13,12:34:00.435,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,27,Auto,48,21.43241,-157.78917,
2016-07-13,12:33:50.055,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,30,Auto,48,21.43243,-157.78918,
2016-07-13,12:30:54.863,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,26,Auto,48,21.43248,-157.78922,
2016-07-13,12:30:44.529,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,24,Auto,48,21.43249,-157.78922,
2016-07-13,12:30:34.176,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,25,Auto,48,21.43249,-157.78922,
2016-07-13,12:27:07.401,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43245,-157.78920,
2016-07-13,12:26:57.120,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43243,-157.78918,
2016-07-13,12:26:46.827,1,69,Coded Pinger,A69-1601,18266,,,,,,,,,,84,Auto,18,21.43240,-157.78914,
2016-07-13,12:24:00.295,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,38,Auto,48,21.43241,-157.78915,
2016-07-13,12:23:39.461,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,37,Auto,48,21.43241,-157.78915,
2016-07-13,12:22:57.966,1,69,Coded Pinger,A69-1303,47515,,,,,,,,,,30,Auto,48,21.43244,-157.78918,
