Date/Time,Receiver,Description,Data,Units
2012-03-28 02:04:43,VR2W-102199,Initialization,,
2012-03-28 02:04:43,VR2W-102199,PC Time,2012-03-27 16:04:43 UTC-10:00,
2012-03-28 02:04:43,VR2W-102199,Map,MAP-112 (A69-1105; A69-1206; A69-1303; A69-9005; A69-9001/9002; A69-9004; A69-1601),
2012-03-28 02:04:43,VR2W-102199,Blanking,260,ms
2012-03-28 02:04:43,VR2W-102199,Station,Mokapu,
2012-03-29 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-03-29 00:00:00,VR2W-102199,Battery,3.5,V
2012-03-29 00:00:00,VR2W-102199,Daily Pings,36,
2012-03-29 00:00:00,VR2W-102199,Daily Syncs,6,
2012-03-29 00:00:00,VR2W-102199,Daily Rejects,0,
2012-03-30 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-03-30 00:00:00,VR2W-102199,Battery,3.5,V
2012-03-30 00:00:00,VR2W-102199,Daily Pings,337,
2012-03-30 00:00:00,VR2W-102199,Daily Syncs,43,
2012-03-30 00:00:00,VR2W-102199,Daily Rejects,0,
2012-03-30 00:00:00,VR2W-102199,Daily Detections on A69-1303,18,
2012-03-30 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-03-29 13:21:43,UTC
2012-03-31 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-03-31 00:00:00,VR2W-102199,Battery,3.5,V
2012-03-31 00:00:00,VR2W-102199,Daily Pings,327,
2012-03-31 00:00:00,VR2W-102199,Daily Syncs,41,
2012-03-31 00:00:00,VR2W-102199,Daily Rejects,0,
2012-03-31 00:00:00,VR2W-102199,Daily Detections on A69-1303,20,
2012-03-31 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-03-30 22:09:25,UTC
2012-04-01 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-01 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-01 00:00:00,VR2W-102199,Daily Pings,643,
2012-04-01 00:00:00,VR2W-102199,Daily Syncs,106,
2012-04-01 00:00:00,VR2W-102199,Daily Rejects,2,
2012-04-01 00:00:00,VR2W-102199,Daily Detections on A69-1303,39,
2012-04-01 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-03-31 15:29:46,UTC
2012-04-02 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-02 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-02 00:00:00,VR2W-102199,Daily Pings,874,
2012-04-02 00:00:00,VR2W-102199,Daily Syncs,130,
2012-04-02 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-02 00:00:00,VR2W-102199,Daily Detections on A69-1303,62,
2012-04-02 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-01 22:37:41,UTC
2012-04-03 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-03 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-03 00:00:00,VR2W-102199,Daily Pings,995,
2012-04-03 00:00:00,VR2W-102199,Daily Syncs,121,
2012-04-03 00:00:00,VR2W-102199,Daily Rejects,1,
2012-04-03 00:00:00,VR2W-102199,Daily Detections on A69-1303,52,
2012-04-03 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-02 18:37:23,UTC
2012-04-04 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-04 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-04 00:00:00,VR2W-102199,Daily Pings,850,
2012-04-04 00:00:00,VR2W-102199,Daily Syncs,108,
2012-04-04 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-04 00:00:00,VR2W-102199,Daily Detections on A69-1303,49,
2012-04-04 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-03 17:12:28,UTC
2012-04-05 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-05 00:00:00,VR2W-102199,Battery,3.6,V
2012-04-05 00:00:00,VR2W-102199,Daily Pings,793,
2012-04-05 00:00:00,VR2W-102199,Daily Syncs,101,
2012-04-05 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-05 00:00:00,VR2W-102199,Daily Detections on A69-1303,60,
2012-04-05 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-04 23:42:22,UTC
2012-04-06 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-06 00:00:00,VR2W-102199,Battery,3.6,V
2012-04-06 00:00:00,VR2W-102199,Daily Pings,721,
2012-04-06 00:00:00,VR2W-102199,Daily Syncs,100,
2012-04-06 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-06 00:00:00,VR2W-102199,Daily Detections on A69-1303,57,
2012-04-06 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-05 20:42:04,UTC
2012-04-07 00:00:00,VR2W-102199,Memory Capacity,0.0,%
2012-04-07 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-07 00:00:00,VR2W-102199,Daily Pings,1046,
2012-04-07 00:00:00,VR2W-102199,Daily Syncs,150,
2012-04-07 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-07 00:00:00,VR2W-102199,Daily Detections on A69-1303,85,
2012-04-07 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-06 23:48:43,UTC
2012-04-08 00:00:00,VR2W-102199,Memory Capacity,0.1,%
2012-04-08 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-08 00:00:00,VR2W-102199,Daily Pings,954,
2012-04-08 00:00:00,VR2W-102199,Daily Syncs,140,
2012-04-08 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-08 00:00:00,VR2W-102199,Daily Detections on A69-1303,68,
2012-04-08 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-07 20:29:27,UTC
2012-04-09 00:00:00,VR2W-102199,Memory Capacity,0.1,%
2012-04-09 00:00:00,VR2W-102199,Battery,3.6,V
2012-04-09 00:00:00,VR2W-102199,Daily Pings,638,
2012-04-09 00:00:00,VR2W-102199,Daily Syncs,71,
2012-04-09 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-09 00:00:00,VR2W-102199,Daily Detections on A69-1303,29,
2012-04-09 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-08 22:28:14,UTC
2012-04-10 00:00:00,VR2W-102199,Memory Capacity,0.1,%
2012-04-10 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-10 00:00:00,VR2W-102199,Daily Pings,744,
2012-04-10 00:00:00,VR2W-102199,Daily Syncs,109,
2012-04-10 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-10 00:00:00,VR2W-102199,Daily Detections on A69-1303,53,
2012-04-10 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-09 19:05:04,UTC
2012-04-11 00:00:00,VR2W-102199,Memory Capacity,0.1,%
2012-04-11 00:00:00,VR2W-102199,Battery,3.5,V
2012-04-11 00:00:00,VR2W-102199,Daily Pings,577,
2012-04-11 00:00:00,VR2W-102199,Daily Syncs,84,
2012-04-11 00:00:00,VR2W-102199,Daily Rejects,0,
2012-04-11 00:00:00,VR2W-102199,Daily Detections on A69-1303,34,
2012-04-11 00:00:00,VR2W-102199,Last Detection on A69-1303,2012-04-10 18:00:46,UTC
2012-04-12 00:00:00,VR2W-102199,Memory Capacity,0.1,%
2012-04-12 00:00:00,VR2W-102199,Battery,3.6,V
2012-04-12 00:00:00,VR2W-102199,Daily Pings,866,
