Date Time, Water Level, Sigma, I, L 
2014-09-30 00:00,0.241,0.019,0,0
2014-09-30 01:00,0.191,0.020,0,0
2014-09-30 02:00,0.203,0.018,0,0
2014-09-30 03:00,0.240,0.020,0,0
2014-09-30 04:00,0.296,0.019,0,0
2014-09-30 05:00,0.392,0.023,0,0
2014-09-30 06:00,0.491,0.023,0,0
2014-09-30 07:00,0.613,0.020,0,0
2014-09-30 08:00,0.691,0.023,0,0
2014-09-30 09:00,0.727,0.023,0,0
2014-09-30 10:00,0.696,0.022,0,0
2014-09-30 11:00,0.643,0.021,0,0
2014-09-30 12:00,0.558,0.022,0,0
2014-09-30 13:00,0.459,0.018,0,0
2014-09-30 14:00,0.338,0.018,0,0
2014-09-30 15:00,0.247,0.017,0,0
2014-09-30 16:00,0.241,0.019,0,0
2014-09-30 17:00,0.252,0.021,0,0
2014-09-30 18:00,0.309,0.024,0,0
2014-09-30 19:00,0.326,0.018,0,0
2014-09-30 20:00,0.371,0.023,0,0
2014-09-30 21:00,0.395,0.022,0,0
2014-09-30 22:00,0.412,0.023,0,0
2014-09-30 23:00,0.362,0.028,0,0
2014-10-01 00:00,0.321,0.025,0,0
2014-10-01 01:00,0.253,0.022,0,0
2014-10-01 02:00,0.225,0.017,0,0
2014-10-01 03:00,0.199,0.025,0,0
2014-10-01 04:00,0.237,0.023,0,0
2014-10-01 05:00,0.292,0.024,0,0
2014-10-01 06:00,0.372,0.028,0,0
2014-10-01 07:00,0.507,0.028,0,0
2014-10-01 08:00,0.659,0.022,0,0
2014-10-01 09:00,0.720,0.028,0,0
2014-10-01 10:00,0.727,0.025,0,0
2014-10-01 11:00,0.723,0.023,0,0
2014-10-01 12:00,0.667,0.030,0,0
2014-10-01 13:00,0.579,0.022,0,0
2014-10-01 14:00,0.475,0.024,0,0
2014-10-01 15:00,0.351,0.022,0,0
2014-10-01 16:00,0.257,0.023,0,0
2014-10-01 17:00,0.211,0.024,0,0
2014-10-01 18:00,0.216,0.021,0,0
2014-10-01 19:00,0.267,0.022,0,0
