"","datetime","receiver","detected","tag_range","tag_depth","case_number","sub_case_number","dm","cpdi_type","event"
"1",2016-07-12 18:58:44,"prediction",1,399,297,1,"a","direct only","Control","1a"
"3",2016-07-12 18:58:55,"prediction",1,989,297,1,"a","direct only","Control","1a"
"5",2016-07-12 18:59:05,"prediction",1,399,297,1,"a","direct only","Control","1a"
"7",2016-07-12 18:59:15,"prediction",1,989,297,1,"a","direct only","Control","1a"
"10",2016-07-12 18:59:25,"prediction",1,399,270,1,"a","direct only","Control","1a"
"11",2016-07-12 18:59:36,"prediction",1,989,270,1,"a","direct only","Control","1a"
"13",2016-07-12 18:59:46,"prediction",1,399,270,1,"a","direct only","Control","1a"
"15",2016-07-12 18:59:56,"prediction",1,989,270,1,"a","direct only","Control","1a"
"18",2016-07-12 19:00:07,"prediction",1,199,297,1,"a","direct only","Control","1a"
"19",2016-07-12 19:00:17,"prediction",1,766,297,1,"a","direct only","Control","1a"
"21",2016-07-12 19:00:27,"prediction",1,199,297,1,"a","direct only","Control","1a"
"23",2016-07-12 19:00:37,"prediction",1,766,297,1,"a","direct only","Control","1a"
"26",2016-07-12 19:00:48,"prediction",1,199,270,1,"a","direct only","Control","1a"
"27",2016-07-12 19:00:58,"prediction",1,766,270,1,"a","direct only","Control","1a"
"29",2016-07-12 19:01:08,"prediction",1,199,270,1,"a","direct only","Control","1a"
"31",2016-07-12 19:01:19,"prediction",1,766,270,1,"a","direct only","Control","1a"
"33",2016-07-12 19:01:29,"prediction",1,1,297,1,"a","direct only","Control","1a"
"36",2016-07-12 19:01:39,"prediction",1,578,297,1,"a","direct only","Control","1a"
"38",2016-07-12 19:01:50,"prediction",1,1,297,1,"a","direct only","Control","1a"
"39",2016-07-12 19:02:00,"prediction",1,578,297,1,"a","direct only","Control","1a"
"41",2016-07-12 19:02:10,"prediction",1,1,270,1,"a","direct only","Control","1a"
"44",2016-07-12 19:02:21,"prediction",1,578,270,1,"a","direct only","Control","1a"
"46",2016-07-12 19:02:31,"prediction",1,1,270,1,"a","direct only","Control","1a"
"47",2016-07-12 19:02:41,"prediction",1,578,270,1,"a","direct only","Control","1a"
"49",2016-07-12 19:10:05,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"52",2016-07-12 19:10:15,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"54",2016-07-12 19:10:26,"prediction",0,399,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"55",2016-07-12 19:10:36,"prediction",0,989,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"57",2016-07-12 19:10:47,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"59",2016-07-12 19:10:57,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"62",2016-07-12 19:11:07,"prediction",0,399,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"64",2016-07-12 19:11:18,"prediction",0,989,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"65",2016-07-12 19:11:28,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"67",2016-07-12 19:11:39,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"70",2016-07-12 19:11:49,"prediction",0,199,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"72",2016-07-12 19:11:59,"prediction",0,766,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"73",2016-07-12 19:12:10,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"75",2016-07-12 19:12:20,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"78",2016-07-12 19:12:31,"prediction",0,199,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"80",2016-07-12 19:12:41,"prediction",0,766,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"81",2016-07-12 19:12:52,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"83",2016-07-12 19:13:02,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"85",2016-07-12 19:13:12,"prediction",0,1,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"87",2016-07-12 19:13:23,"prediction",0,578,297,1,"a","multipath","multipath_cpdi_predicted","1a"
"90",2016-07-12 19:13:33,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"91",2016-07-12 19:13:44,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"93",2016-07-12 19:13:54,"prediction",0,1,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"95",2016-07-12 19:14:05,"prediction",0,578,270,1,"a","multipath","multipath_cpdi_predicted","1a"
"98",2016-07-12 19:24:53,"prediction",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"99",2016-07-12 19:25:03,"prediction",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"101",2016-07-12 19:25:14,"prediction",0,399,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"103",2016-07-12 19:25:24,"prediction",0,989,297,1,"b","multipath","multipath_cpdi_predicted","1b"
"106",2016-07-12 19:25:34,"prediction",0,399,270,1,"b","multipath","multipath_cpdi_predicted","1b"
"107",2016-07-12 19:25:45,"prediction",0,989,270,1,"b","multipath","multipath_cpdi_predicted","1b"
